Hit_res,Multi_scatter,noise_rate,efficency_err,epsilon,phi_range,theta_range,primary_verticies,event_count,ghost_rate_metrics,clone_fraction_metrics,reconstruction_efficiency_metrics,hit_efficiency_metrics,purity_metrics,total_rec_tracks_metrics,total_truth_tracks_metrics,ghost_tracks_metrics,clones_count_metrics,metrics
0,0.0004,0.02,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.221931117521486]]",1,0.0,0.0,0.9,0.7291666666666661,1.0,9,10,[],0,
0,0.0004,0.04,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.8432506262406291]]",1,0.0,0.0,1.0,0.72,1.0,10,10,[],0,
0,0.0004,0.04,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, 1.20653645920949]]",1,0.0,0.0,1.0,0.777777777777777,1.0,10,10,[],0,
0,0.0004,0.04,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.337879839114943]]",1,0.0,0.0,1.0,0.8367346938775511,1.0,10,10,[],0,
0,0.0004,0.04,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.21783477405731802]]",1,0.0,0.0,1.0,0.8125,1.0,10,10,[],0,
0.002,0,0.01,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.7193378181940651]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.01,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.100217654547472]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.01,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.36127377408786804]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.01,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.208262013471138]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.02,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.066604270636092]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
